score_band,rank,deck_type,teams,classified_teams_in_band,usage_rate,usage_percent,representative_card_id,representative_card_name
700-799,7,Cynthia Garchomp,8,290,0.027586206896551724,2.76,381,Cynthia's Garchomp ex
700-799,8,Dragapult,8,290,0.027586206896551724,2.76,121,Dragapult ex
700-799,9,Great Tusk / Crustle,8,290,0.027586206896551724,2.76,58,Great Tusk
700-799,10,Iono Bellibolt,8,290,0.027586206896551724,2.76,269,Iono’s Bellibolt ex
600-699,1,Mega Lucario,69,285,0.24210526315789474,24.21,678,Mega Lucario ex
600-699,2,Alakazam,52,285,0.1824561403508772,18.25,743,Alakazam
600-699,3,Dragapult,37,285,0.12982456140350876,12.98,121,Dragapult ex
600-699,4,Crustle Wall,36,285,0.12631578947368421,12.63,345,Crustle
600-699,5,Marnie Grimmsnarl,21,285,0.07368421052631578,7.37,648,Marnie's Grimmsnarl ex
600-699,6,Mega Starmie,13,285,0.0456140350877193,4.56,1031,Mega Starmie ex
600-699,7,Hop Trevenant,10,285,0.03508771929824561,3.51,879,Hop's Trevenant
600-699,8,Archaludon,9,285,0.031578947368421054,3.16,190,Archaludon ex
600-699,9,Team Rocket Mewtwo,9,285,0.031578947368421054,3.16,431,Team Rocket's Mewtwo ex
600-699,10,Great Tusk / Crustle,7,285,0.02456140350877193,2.46,58,Great Tusk
500-599,1,Mega Lucario,84,276,0.30434782608695654,30.43,678,Mega Lucario ex
500-599,2,Alakazam,40,276,0.14492753623188406,14.49,743,Alakazam
500-599,3,Crustle Wall,37,276,0.13405797101449277,13.41,345,Crustle
500-599,4,Dragapult,30,276,0.10869565217391304,10.87,121,Dragapult ex
500-599,5,Marnie Grimmsnarl,18,276,0.06521739130434782,6.52,648,Marnie's Grimmsnarl ex
500-599,6,Mega Starmie,15,276,0.05434782608695652,5.43,1031,Mega Starmie ex
500-599,7,Hop Trevenant,11,276,0.03985507246376811,3.99,879,Hop's Trevenant
500-599,8,Mega Abomasnow,9,276,0.03260869565217391,3.26,723,Mega Abomasnow ex
500-599,9,Ceruledge,4,276,0.014492753623188406,1.45,320,Ceruledge ex
500-599,10,Cynthia Garchomp,4,276,0.014492753623188406,1.45,381,Cynthia's Garchomp ex
